           1         2         3         4         5         6         7  \
0   0.000000  0.111803  0.000000  0.000000  0.424264  0.000000  0.316228   
1   0.192450  0.102062  0.080064  0.102062  0.129099  0.117851  0.000000   
2   0.184900  0.196116  0.230769  0.098058  0.000000  0.339683  0.000000   
3   0.184900  0.294174  0.230769  0.294174  0.124035  0.339683  0.184900   
4   0.000000  0.111803  0.000000  0.111803  0.141421  0.129099  0.105409   
5   0.210819  0.111803  0.175412  0.335410  0.000000  0.258199  0.105409   
6   0.105409  0.223607  0.000000  0.111803  0.141421  0.000000  0.105409   
7   0.000000  0.000000  0.250873  0.000000  0.134840  0.123091  0.000000   
8   0.105409  0.000000  0.263117  0.111803  0.141421  0.000000  0.210819   
9   0.000000  0.106600  0.501745  0.000000  0.134840  0.123091  0.100504   
10  0.000000  0.000000  0.000000  0.000000  0.141421  0.000000  0.105409   
11  0.000000  0.223607  0.087706  0.000000  0.141421  0.129099  0.210819   
12  0.089087  0.094491  0.222375  0.000000  0.000000  0.109109  0.000000   
13  0.000000  0.000000  0.087706  0.000000  0.000000  0.129099  0.000000   
14  0.000000  0.171499  0.336336  0.171499  0.108465  0.000000  0.000000   
15  0.000000  0.091287  0.358057  0.091287  0.115470  0.000000  0.258199   
16  0.111111  0.000000  0.000000  0.000000  0.000000  0.136083  0.000000   
17  0.000000  0.133631  0.104828  0.000000  0.169031  0.000000  0.125988   
18  0.201008  0.213201  0.083624  0.106600  0.269680  0.123091  0.301511   
19  0.105409  0.223607  0.000000  0.111803  0.141421  0.000000  0.105409   
20  0.111111  0.471405  0.000000  0.000000  0.149071  0.000000  0.222222   
21  0.000000  0.117851  0.092450  0.117851  0.149071  0.000000  0.111111   
22  0.184900  0.098058  0.230769  0.098058  0.000000  0.339683  0.000000   
23  0.201008  0.319801  0.083624  0.426401  0.134840  0.123091  0.201008   
24  0.000000  0.125000  0.098058  0.000000  0.158114  0.000000  0.117851   
25  0.000000  0.111803  0.000000  0.223607  0.141421  0.000000  0.210819   
26  0.083333  0.353553  0.000000  0.088388  0.223607  0.000000  0.333333   
27  0.288675  0.204124  0.080064  0.204124  0.129099  0.117851  0.096225   
28  0.192450  0.204124  0.160128  0.102062  0.000000  0.117851  0.000000   
29  0.000000  0.125000  0.000000  0.125000  0.316228  0.000000  0.235702   
30  0.000000  0.117851  0.000000  0.000000  0.298142  0.000000  0.222222   
31  0.000000  0.111803  0.175412  0.000000  0.000000  0.129099  0.000000   
32  0.105409  0.111803  0.000000  0.223607  0.000000  0.000000  0.105409   
33  0.105409  0.111803  0.000000  0.000000  0.141421  0.129099  0.105409   
34  0.086066  0.182574  0.286446  0.273861  0.000000  0.210819  0.000000   
35  0.201008  0.213201  0.083624  0.213201  0.134840  0.123091  0.201008   
36  0.172133  0.456435  0.358057  0.182574  0.115470  0.105409  0.172133   
37  0.100504  0.319801  0.334497  0.319801  0.000000  0.000000  0.201008   
38  0.000000  0.102062  0.080064  0.000000  0.000000  0.117851  0.096225   

           8         9        10        11        12        13     Label  
0   0.316228  0.119523  0.000000  0.000000  0.111803  0.129099  positive  
1   0.144338  0.000000  0.000000  0.000000  0.102062  0.000000  positive  
2   0.277350  0.104828  0.000000  0.113228  0.392232  0.000000  negative  
3   0.277350  0.104828  0.124035  0.113228  0.392232  0.000000  negative  
4   0.158114  0.000000  0.000000  0.000000  0.111803  0.000000  negative  
5   0.158114  0.119523  0.000000  0.000000  0.111803  0.000000  negative  
6   0.158114  0.119523  0.141421  0.000000  0.111803  0.129099  negative  
7   0.000000  0.113961  0.000000  0.000000  0.106600  0.123091  negative  
8   0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  positive  
9   0.150756  0.113961  0.000000  0.123091  0.213201  0.000000  negative  
10  0.158114  0.119523  0.000000  0.000000  0.000000  0.000000  positive  
11  0.158114  0.119523  0.141421  0.129099  0.335410  0.129099  negative  
12  0.000000  0.202031  0.000000  0.109109  0.188982  0.000000  positive  
13  0.158114  0.000000  0.000000  0.387298  0.111803  0.000000  negative  
14  0.000000  0.091670  0.000000  0.297044  0.171499  0.000000  negative  
15  0.129099  0.000000  0.000000  0.000000  0.091287  0.000000  positive  
16  0.000000  0.000000  0.298142  0.000000  0.000000  0.272166  positive  
17  0.188982  0.142857  0.000000  0.154303  0.133631  0.000000  positive  
18  0.603023  0.113961  0.134840  0.000000  0.213201  0.000000  negative  
19  0.158114  0.119523  0.141421  0.000000  0.111803  0.129099  negative  
20  0.166667  0.125988  0.149071  0.000000  0.117851  0.136083  positive  
21  0.000000  0.000000  0.000000  0.136083  0.117851  0.000000  negative  
22  0.138675  0.314485  0.000000  0.000000  0.294174  0.000000  positive  
23  0.301511  0.113961  0.000000  0.000000  0.213201  0.123091  negative  
24  0.353553  0.133631  0.000000  0.000000  0.125000  0.000000  positive  
25  0.158114  0.000000  0.000000  0.000000  0.111803  0.000000  positive  
26  0.375000  0.188982  0.223607  0.000000  0.088388  0.306186  negative  
27  0.144338  0.109109  0.129099  0.000000  0.102062  0.117851  positive  
28  0.000000  0.218218  0.000000  0.117851  0.204124  0.117851  negative  
29  0.176777  0.000000  0.000000  0.000000  0.125000  0.000000  positive  
30  0.500000  0.125988  0.000000  0.136083  0.353553  0.000000  negative  
31  0.000000  0.000000  0.000000  0.129099  0.111803  0.000000  positive  
32  0.000000  0.119523  0.141421  0.000000  0.000000  0.387298  positive  
33  0.316228  0.000000  0.141421  0.000000  0.111803  0.129099  negative  
34  0.129099  0.097590  0.000000  0.210819  0.273861  0.000000  positive  
35  0.452267  0.113961  0.000000  0.000000  0.213201  0.000000  positive  
36  0.258199  0.097590  0.115470  0.000000  0.182574  0.210819  negative  
37  0.000000  0.113961  0.134840  0.369274  0.106600  0.246183  positive  
38  0.000000  0.109109  0.129099  0.000000  0.102062  0.117851  negative  
